latitude,longitude,rwi,error
-3.8971380,-79.6179199,-0.486,0.427
-4.1163273,-80.2111816,-0.668,0.483
-2.6467632,-79.6398926,-0.064,0.520
-1.9002862,-79.9914551,0.365,0.473
0.5822654,-77.7941895,0.117,0.488
-2.2735730,-80.0573730,-0.067,0.506
-4.4230904,-80.2990723,-0.217,0.460
0.8019758,-79.5959473,-0.712,0.459
-0.2966295,-80.2331543,-0.510,0.399
0.8678867,-79.4421387,-0.231,0.407
-1.3511931,-80.3210449,-0.716,0.445
0.6042368,-79.0466309,-1.023,0.393
-2.4711573,-80.2331543,-0.306,0.477
-1.7245930,-80.6726074,-0.089,0.384
-4.1382430,-80.0793457,-0.317,0.454
-0.6262082,-80.3649902,-0.491,0.552
-1.7465556,-79.6398926,0.218,0.477
-3.8094460,-78.7829590,-0.431,0.467
-3.1076060,-79.8376465,0.463,0.536
-1.1754546,-79.9694824,-0.818,0.418
-2.3174830,-80.2111816,-0.187,0.493
-2.5370123,-80.3869629,0.331,0.504
-1.5928123,-80.4528809,-0.717,0.493
-2.2955282,-78.1237793,1.046,0.546
0.4064907,-79.3322754,-0.135,0.534
0.6701507,-79.9035645,-0.648,0.457
-0.2307123,-80.0134277,-0.242,0.483
-3.2173020,-79.4421387,-0.403,0.455
-0.1208495,-76.9372559,-0.642,0.432
-1.0656124,-78.7390137,-0.116,0.475
-0.4064907,-79.5080566,-0.513,0.490
-0.0109863,-77.4426270,-0.211,0.463
-0.5163504,-80.0793457,-0.251,0.498
-1.0875811,-79.9035645,-0.939,0.471
-2.3174830,-79.7058105,-0.251,0.552
-0.0988769,-78.5632324,0.160,0.519
-0.4064907,-80.1892090,0.345,0.444
0.7140928,-78.9587402,-0.791,0.410
-3.4147247,-78.5852051,0.409,0.525
0.2966295,-77.9699707,-0.429,0.407
-2.2735730,-78.1457520,0.320,0.474
-3.1076060,-79.7937012,-0.420,0.501
-4.8611009,-79.1345215,0.741,0.541
-4.1601581,-79.6618652,-0.435,0.384
-4.3135463,-79.2224121,-0.375,0.466
-0.7140928,-78.7609863,-0.429,0.457
-0.1208495,-79.3762207,-0.170,0.529
-1.6587038,-79.9475098,-0.519,0.499
0.0549316,-79.0686035,-0.148,0.492
-1.9881263,-80.1672363,-0.444,0.416
-0.5163504,-79.3762207,0.321,0.475
-2.9101249,-79.0905762,0.119,0.485
-2.0320445,-79.8815918,0.357,0.560
-0.5383221,-77.2448730,-1.156,0.414
0.4064907,-79.1564941,-0.670,0.405
0.3186019,-77.9479980,0.040,0.464
-0.0769043,-78.5412598,0.103,0.504
-1.9881263,-79.8596191,0.243,0.499
-0.4943786,-80.2111816,-0.647,0.400
-0.3186019,-76.7834473,-0.380,0.457
-0.0988769,-77.2009277,-0.550,0.512
-0.4064907,-78.3215332,0.054,0.424
-2.7784514,-78.6511230,0.369,0.493
-1.1974226,-78.5632324,0.367,0.506
-0.8239462,-79.8156738,-0.901,0.417
1.0436434,-79.3981934,-0.641,0.459
-0.0329590,-76.7614746,-0.793,0.405
-2.8662354,-78.7829590,0.684,0.511
-3.3050503,-78.4533691,-0.872,0.391
-1.0216743,-80.5627441,0.273,0.540
0.3625464,-78.1677246,0.302,0.508
-0.0988769,-76.6516113,-0.393,0.478
-0.7800052,-79.3762207,-0.241,0.478
-0.0988769,-78.2556152,-0.043,0.496
-0.0769043,-78.6071777,-0.133,0.474
